[+] Nuclei batch started at: Tue Jun 16 08:37:20 UTC 2026
[+] Run ID: 27543264426
[+] Batch: batch-007
[+] URL count: 300
[0:00:05] | Templates: 6683 | Hosts: 300 | RPS: 146 | Matched: 0 | Errors: 0 | Requests: 772/4446300 (0%)
[0:00:10] | Templates: 6683 | Hosts: 300 | RPS: 128 | Matched: 0 | Errors: 0 | Requests: 1319/4446300 (0%)
[0:00:15] | Templates: 6683 | Hosts: 300 | RPS: 123 | Matched: 0 | Errors: 0 | Requests: 1882/4446300 (0%)
[0:00:20] | Templates: 6683 | Hosts: 300 | RPS: 122 | Matched: 0 | Errors: 0 | Requests: 2475/4446300 (0%)
[0:00:25] | Templates: 6683 | Hosts: 300 | RPS: 120 | Matched: 0 | Errors: 0 | Requests: 3039/4446300 (0%)
[0:00:30] | Templates: 6683 | Hosts: 300 | RPS: 118 | Matched: 0 | Errors: 0 | Requests: 3597/4446300 (0%)
[0:00:35] | Templates: 6683 | Hosts: 300 | RPS: 117 | Matched: 0 | Errors: 0 | Requests: 4145/4446300 (0%)
[0:00:40] | Templates: 6683 | Hosts: 300 | RPS: 117 | Matched: 0 | Errors: 0 | Requests: 4740/4446300 (0%)
[0:00:45] | Templates: 6683 | Hosts: 300 | RPS: 116 | Matched: 0 | Errors: 0 | Requests: 5275/4446300 (0%)
[0:00:50] | Templates: 6683 | Hosts: 300 | RPS: 117 | Matched: 0 | Errors: 0 | Requests: 5908/4446300 (0%)
[0:00:55] | Templates: 6683 | Hosts: 300 | RPS: 116 | Matched: 0 | Errors: 0 | Requests: 6442/4446300 (0%)
[0:01:00] | Templates: 6683 | Hosts: 300 | RPS: 116 | Matched: 0 | Errors: 0 | Requests: 7039/4446300 (0%)
[0:01:05] | Templates: 6683 | Hosts: 300 | RPS: 115 | Matched: 0 | Errors: 0 | Requests: 7568/4446300 (0%)
[0:01:10] | Templates: 6683 | Hosts: 300 | RPS: 116 | Matched: 0 | Errors: 0 | Requests: 8152/4446300 (0%)
[0:01:15] | Templates: 6683 | Hosts: 300 | RPS: 115 | Matched: 0 | Errors: 0 | Requests: 8672/4446300 (0%)
[0:01:20] | Templates: 6683 | Hosts: 300 | RPS: 115 | Matched: 0 | Errors: 0 | Requests: 9256/4446300 (0%)
[0:01:25] | Templates: 6683 | Hosts: 300 | RPS: 115 | Matched: 0 | Errors: 0 | Requests: 9875/4446300 (0%)
[0:01:30] | Templates: 6683 | Hosts: 300 | RPS: 115 | Matched: 0 | Errors: 0 | Requests: 10422/4446300 (0%)
[0:01:35] | Templates: 6683 | Hosts: 300 | RPS: 115 | Matched: 0 | Errors: 82 | Requests: 10981/4446300 (0%)
[0:01:40] | Templates: 6683 | Hosts: 300 | RPS: 115 | Matched: 0 | Errors: 158 | Requests: 11529/4446300 (0%)
[0:01:45] | Templates: 6683 | Hosts: 300 | RPS: 115 | Matched: 0 | Errors: 230 | Requests: 12115/4446300 (0%)
[0:01:50] | Templates: 6683 | Hosts: 300 | RPS: 114 | Matched: 0 | Errors: 348 | Requests: 12654/4446300 (0%)
