https://blocknative.com [302] [https://www.blocknative.com/] [0] [Heroku] [13.248.241.119] [423.169039ms]
https://friends.axelar.network [302] [https://bitly.com/pages/landing/branded-short-domains-powered-by-bitly?bsd=friends.axelar.network] [120] [nginx] [67.199.248.13] [238.75206ms] [HSTS,HTTP/3,Nginx]
http://cdp.blocknative.com [302] [https://www.blocknative.com] [148] [Object moved] [Redirector/1.0] [64.98.135.105] [61.670926ms]
http://api0.blocknative.com [302] [https://www.blocknative.com] [148] [Object moved] [Redirector/1.0] [64.98.135.105] [62.92443ms]
http://autodiscover.blocknative.com [302] [https://www.blocknative.com] [148] [Object moved] [Redirector/1.0] [64.98.135.105] [62.428348ms]
http://assist.blocknative.com [302] [https://www.blocknative.com] [148] [Object moved] [Redirector/1.0] [64.98.135.105] [62.941249ms]
http://builder-relay-goerli.blocknative.com [302] [https://www.blocknative.com] [148] [Object moved] [Redirector/1.0] [64.98.135.105] [63.047795ms]
http://builder-relay-ropsten.blocknative.com [302] [https://www.blocknative.com] [148] [Object moved] [Redirector/1.0] [64.98.135.105] [65.876291ms]
http://account.api.blocknative.com [302] [https://www.blocknative.com] [148] [Object moved] [Redirector/1.0] [64.98.135.105] [65.085338ms]
http://api.mpex2.blocknative.com [302] [https://www.blocknative.com] [148] [Object moved] [Redirector/1.0] [64.98.135.105] [62.849344ms]
http://account.blocknative.com [302] [https://www.blocknative.com] [148] [Object moved] [Redirector/1.0] [64.98.135.105] [65.721401ms]
http://api.mpex2.staging.blocknative.com [302] [https://www.blocknative.com] [148] [Object moved] [Redirector/1.0] [64.98.135.105] [65.985785ms]
http://4337.blocknative.com [302] [https://www.blocknative.com] [148] [Object moved] [Redirector/1.0] [64.98.135.105] [68.705099ms]
http://builder-relay-mainnet.blocknative.com [302] [https://www.blocknative.com] [148] [Object moved] [Redirector/1.0] [64.98.135.105] [65.80273ms]
http://archive.blocknative.com [302] [https://www.blocknative.com] [148] [Object moved] [Redirector/1.0] [64.98.135.105] [69.097231ms]
http://5118396t.blocknative.com [302] [https://www.blocknative.com] [148] [Object moved] [Redirector/1.0] [64.98.135.105] [68.57718ms]
http://d72a1-www.blocknative.com [302] [https://www.blocknative.com] [148] [Object moved] [Redirector/1.0] [64.98.135.105] [71.642258ms]
http://demo.blocknative.com [302] [https://www.blocknative.com] [148] [Object moved] [Redirector/1.0] [64.98.135.105] [64.208565ms]
http://dreamboat.blocknative.com [302] [https://www.blocknative.com] [148] [Object moved] [Redirector/1.0] [64.98.135.105] [62.474968ms]
http://downloads.blocknative.com [302] [https://www.blocknative.com] [148] [Object moved] [Redirector/1.0] [64.98.135.105] [147.458066ms]
http://explorer.blocknative.com [302] [https://www.blocknative.com] [148] [Object moved] [Redirector/1.0] [64.98.135.105] [62.751173ms]
http://hub.blocknative.com [302] [https://www.blocknative.com] [148] [Object moved] [Redirector/1.0] [64.98.135.105] [62.788867ms]
http://mpex2.blocknative.com [302] [https://www.blocknative.com] [148] [Object moved] [Redirector/1.0] [64.98.135.105] [62.471051ms]
http://mpex2.staging.blocknative.com [302] [https://www.blocknative.com] [148] [Object moved] [Redirector/1.0] [64.98.135.105] [63.291551ms]
http://niftyfootball.blocknative.com [302] [https://www.blocknative.com] [148] [Object moved] [Redirector/1.0] [64.98.135.105] [63.266828ms]
http://private.blocknative.com [302] [https://www.blocknative.com] [148] [Object moved] [Redirector/1.0] [64.98.135.105] [62.061656ms]
http://prod.blocknative.com [302] [https://www.blocknative.com] [148] [Object moved] [Redirector/1.0] [64.98.135.105] [63.251888ms]
http://reactdemo.blocknative.com [302] [https://www.blocknative.com] [148] [Object moved] [Redirector/1.0] [64.98.135.105] [63.517343ms]
http://sentry.blocknative.com [302] [https://www.blocknative.com] [148] [Object moved] [Redirector/1.0] [64.98.135.105] [73.136578ms]
http://sepolia.api.mpex2.staging.blocknative.com [302] [https://www.blocknative.com] [148] [Object moved] [Redirector/1.0] [64.98.135.105] [63.040073ms]
